time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-03 00:00:00+00:00,1,1,1,1
2022-07-04 00:00:00+00:00,7,4,39,1
2022-07-05 00:00:00+00:00,5,4,7,4
2022-07-06 00:00:00+00:00,3,3,31,3
2022-07-07 00:00:00+00:00,4,3,6,1
2022-07-08 00:00:00+00:00,1,1,15,4
2022-07-10 00:00:00+00:00,13,10,7,1
2022-07-11 00:00:00+00:00,12,7,39,10
2022-07-12 00:00:00+00:00,10,6,34,3
2022-07-13 00:00:00+00:00,4,3,3,3
2022-07-14 00:00:00+00:00,2,2,28,3
2022-07-15 00:00:00+00:00,12,6,236,4
2022-07-16 00:00:00+00:00,6,5,38,1
2022-07-17 00:00:00+00:00,1,1,24,3
2022-07-18 00:00:00+00:00,3,3,18,3
2022-07-19 00:00:00+00:00,3,3,1,1
2022-07-20 00:00:00+00:00,3,3,17,2
2022-07-21 00:00:00+00:00,3,3,12,3
2022-07-22 00:00:00+00:00,3,3,27,1
2022-07-23 00:00:00+00:00,6,6,4,1
2022-07-24 00:00:00+00:00,4,4,4,1
2022-07-25 00:00:00+00:00,4,4,13,1
2022-07-26 00:00:00+00:00,2,2,1,1
2022-07-27 00:00:00+00:00,2,2,0,0
2022-07-28 00:00:00+00:00,2,2,1,1
2022-07-29 00:00:00+00:00,2,2,0,0
2022-07-30 00:00:00+00:00,1,1,0,0
2022-07-31 00:00:00+00:00,3,3,0,0
2022-08-01 00:00:00+00:00,2,2,6,2
2022-08-02 00:00:00+00:00,3,3,0,0
2022-08-03 00:00:00+00:00,4,4,16,2
2022-08-04 00:00:00+00:00,3,3,4,2
2022-08-05 00:00:00+00:00,2,2,6,3
2022-08-06 00:00:00+00:00,2,2,0,0
2022-08-07 00:00:00+00:00,4,4,0,0
2022-08-08 00:00:00+00:00,2,2,4,2
2022-08-09 00:00:00+00:00,2,2,6,2
2022-08-10 00:00:00+00:00,3,3,1,1
2022-08-11 00:00:00+00:00,3,3,16,5
2022-08-12 00:00:00+00:00,1,1,1,1
2022-08-13 00:00:00+00:00,3,3,12,1
2022-08-14 00:00:00+00:00,4,4,5,1
2022-08-15 00:00:00+00:00,3,3,6,3
2022-08-16 00:00:00+00:00,4,4,17,2
2022-08-17 00:00:00+00:00,4,4,81,4
2022-08-18 00:00:00+00:00,5,4,13,3
2022-08-19 00:00:00+00:00,3,3,15,2
2022-08-20 00:00:00+00:00,5,5,0,0
2022-08-21 00:00:00+00:00,1,1,0,0
2022-08-22 00:00:00+00:00,7,7,2,2
2022-08-23 00:00:00+00:00,2,2,0,0
2022-08-24 00:00:00+00:00,0,0,24,3
